n	d	dxn	grid_acc	model_size	level
2	1	2	1.0	70	1
3	1	3	0.7333333333333334	70	1
4	1	4	0.95	70	1
5	1	5	0.86	70	1
6	1	6	0.2037037037037037	70	1
7	1	7	0.3968253968253968	70	1
2	2	4	0.95	70	1
3	2	6	0.6333333333333333	70	1
4	2	8	0.8125	70	1
5	2	10	0.4666666666666667	70	1
6	2	12	0.4880952380952381	70	1
7	2	14	0.2928571428571428	70	1
2	3	6	0.8166666666666668	70	1
3	3	9	0.7111111111111111	70	1
4	3	12	0.4833333333333333	70	1
5	3	15	0.3925925925925926	70	1
6	3	18	0.3333333333333333	70	1
7	3	21	0.3068783068783068	70	1
2	4	8	0.8125	70	1
3	4	12	0.6916666666666668	70	1
4	4	16	0.44375	70	1
5	4	20	0.42	70	1
6	4	24	0.3166666666666666	70	1
7	4	28	0.3178571428571429	70	1
2	5	10	0.86	70	1
3	5	15	0.5133333333333333	70	1
4	5	20	0.45	70	1
5	5	25	0.324	70	1
6	5	30	0.29	70	1
7	5	35	0.2028571428571428	70	1
2	6	12	0.8166666666666668	70	1
3	6	18	0.6222222222222222	70	1
4	6	24	0.35	70	1
5	6	30	0.32	70	1
6	6	36	0.2944444444444444	70	1
7	6	42	0.1952380952380952	70	1
2	7	14	0.8357142857142856	70	1
3	7	21	0.4857142857142856	70	1
4	7	28	0.373015873015873	70	1
5	7	35	0.3	70	1
6	7	42	0.2404761904761904	70	1
7	7	49	0.2061224489795918	70	1
2	1	2		70	2
3	1	3	0.6	70	2
4	1	4	0.5	70	2
5	1	5	0.5	70	2
6	1	6	0.3666666666666667	70	2
7	1	7	0.4821428571428571	70	2
2	2	4		70	2
3	2	6	0.4833333333333333	70	2
4	2	8	0.7361111111111112	70	2
5	2	10	0.3777777777777777	70	2
6	2	12	0.2962962962962963	70	2
7	2	14	0.3877551020408163	70	2
2	3	6		70	2
3	3	9	0.5555555555555556	70	2
4	3	12	0.5740740740740741	70	2
5	3	15	0.2518518518518518	70	2
6	3	18	0.2722222222222222	70	2
7	3	21	0.1957671957671957	70	2
2	4	8		70	2
3	4	12	0.5499999999999999	70	2
4	4	16	0.3472222222222222	70	2
5	4	20	0.2833333333333333	70	2
6	4	24	0.287037037037037	70	2
7	4	28	0.2071428571428571	70	2
2	5	10		70	2
3	5	15	0.5	70	2
4	5	20	0.4349999999999999	70	2
5	5	25	0.3377777777777778	70	2
6	5	30	0.2233333333333333	70	2
7	5	35	0.2342857142857142	70	2
2	6	12		70	2
3	6	18	0.54320987654321	70	2
4	6	24	0.4083333333333334	70	2
5	6	30	0.3466666666666667	70	2
6	6	36	0.2555555555555555	70	2
7	6	42	0.2071428571428571	70	2
2	7	14		70	2
3	7	21	0.4809523809523809	70	2
4	7	28	0.3482142857142857	70	2
5	7	35	0.28	70	2
6	7	42	0.2619047619047619	70	2
7	7	49	0.1746031746031746	70	2
2	1	2	0.8	70	3
3	1	3	0.7666666666666666	70	3
4	1	4	0.35	70	3
5	1	5	0.42	70	3
6	1	6	0.7833333333333333	70	3
7	1	7	0.2285714285714286	70	3
2	2	4	0.9	70	3
3	2	6	0.6333333333333333	70	3
4	2	8	0.475	70	3
5	2	10	0.4666666666666667	70	3
6	2	12	0.25	70	3
7	2	14	0.1642857142857142	70	3
2	3	6	0.75	70	3
3	3	9	0.6555555555555556	70	3
4	3	12	0.4416666666666666	70	3
5	3	15	0.3066666666666666	70	3
6	3	18	0.2833333333333333	70	3
7	3	21	0.2698412698412699	70	3
2	4	8	0.725	70	3
3	4	12	0.5750000000000001	70	3
4	4	16	0.4	70	3
5	4	20	0.37	70	3
6	4	24	0.2666666666666666	70	3
7	4	28	0.1714285714285714	70	3
2	5	10	0.7333333333333333	70	3
3	5	15	0.4583333333333333	70	3
4	5	20	0.37	70	3
5	5	25	0.344	70	3
6	5	30	0.237037037037037	70	3
7	5	35	0.2031746031746031	70	3
2	6	12	0.75	70	3
3	6	18	0.4	70	3
4	6	24	0.3708333333333333	70	3
5	6	30	0.2733333333333333	70	3
6	6	36	0.2388888888888888	70	3
7	6	42	0.219047619047619	70	3
2	7	14	0.7214285714285714	70	3
3	7	21	0.4952380952380952	70	3
4	7	28	0.4071428571428571	70	3
5	7	35	0.2371428571428571	70	3
6	7	42	0.2619047619047619	70	3
7	7	49	0.1959183673469387	70	3
2	1	2	1.0	70	4
3	1	3	0.7333333333333334	70	4
4	1	4	0.5	70	4
5	1	5	0.5555555555555556	70	4
6	1	6	0.2592592592592592	70	4
7	1	7	0.6031746031746031	70	4
2	2	4	0.95	70	4
3	2	6	0.6	70	4
4	2	8	0.5535714285714286	70	4
5	2	10	0.3571428571428571	70	4
6	2	12	0.4166666666666667	70	4
7	2	14	0.2619047619047619	70	4
2	3	6	1.0	70	4
3	3	9	0.5925925925925926	70	4
4	3	12	0.3888888888888889	70	4
5	3	15	0.3	70	4
6	3	18	0.2530864197530864	70	4
7	3	21	0.2321428571428571	70	4
2	4	8	0.825	70	4
3	4	12	0.3583333333333333	70	4
4	4	16	0.30625	70	4
5	4	20	0.3071428571428571	70	4
6	4	24	0.225	70	4
7	4	28	0.2392857142857143	70	4
2	5	10	0.86	70	4
3	5	15	0.4866666666666666	70	4
4	5	20	0.315	70	4
5	5	25	0.255	70	4
6	5	30	0.2133333333333333	70	4
7	5	35	0.26	70	4
2	6	12	0.6	70	4
3	6	18	0.5222222222222223	70	4
4	6	24	0.2875	70	4
5	6	30	0.274074074074074	70	4
6	6	36	0.2833333333333333	70	4
7	6	42	0.1738095238095238	70	4
2	7	14	0.8285714285714285	70	4
3	7	21	0.5285714285714286	70	4
4	7	28	0.3571428571428571	70	4
5	7	35	0.2885714285714285	70	4
6	7	42	0.2248677248677248	70	4
7	7	49	0.2183673469387755	70	4
2	1	2	0.95	70	5
3	1	3	0.8333333333333334	70	5
4	1	4	0.65	70	5
5	1	5	0.4	70	5
6	1	6	0.4814814814814814	70	5
7	1	7	0.3174603174603175	70	5
2	2	4	0.9	70	5
3	2	6	0.5666666666666667	70	5
4	2	8	0.4027777777777778	70	5
5	2	10	0.2799999999999999	70	5
6	2	12	0.2777777777777778	70	5
7	2	14	0.3571428571428571	70	5
2	3	6	0.9	70	5
3	3	9	0.6111111111111112	70	5
4	3	12	0.4814814814814814	70	5
5	3	15	0.4296296296296296	70	5
6	3	18	0.3125	70	5
7	3	21	0.3285714285714285	70	5
2	4	8	0.8611111111111112	70	5
3	4	12	0.6574074074074074	70	5
4	4	16	0.30625	70	5
5	4	20	0.3277777777777778	70	5
6	4	24	0.3041666666666666	70	5
7	4	28	0.2107142857142857	70	5
2	5	10	0.78	70	5
3	5	15	0.4933333333333333	70	5
4	5	20	0.4222222222222222	70	5
5	5	25	0.244	70	5
6	5	30	0.2699999999999999	70	5
7	5	35	0.2571428571428571	70	5
2	6	12	0.775	70	5
3	6	18	0.4944444444444444	70	5
4	6	24	0.3842592592592592	70	5
5	6	30	0.2958333333333333	70	5
6	6	36	0.2611111111111111	70	5
7	6	42	0.1928571428571428	70	5
2	7	14	0.7999999999999999	70	5
3	7	21	0.5132275132275133	70	5
4	7	28	0.3214285714285714	70	5
5	7	35	0.24	70	5
6	7	42	0.2023809523809523	70	5
7	7	49	0.2	70	5
2	1	2		70	6
3	1	3		70	6
4	1	4		70	6
5	1	5		70	6
6	1	6		70	6
7	1	7		70	6
2	2	4	0.975	70	6
3	2	6	0.7037037037037037	70	6
4	2	8	0.4625	70	6
5	2	10	0.4375	70	6
6	2	12	0.2314814814814814	70	6
7	2	14	0.1785714285714285	70	6
2	3	6	0.8333333333333334	70	6
3	3	9	0.5222222222222223	70	6
4	3	12	0.3583333333333333	70	6
5	3	15	0.2933333333333333	70	6
6	3	18	0.25	70	6
7	3	21	0.1845238095238095	70	6
2	4	8	0.9	70	6
3	4	12	0.3999999999999999	70	6
4	4	16	0.35	70	6
5	4	20	0.25	70	6
6	4	24	0.2875	70	6
7	4	28	0.1964285714285714	70	6
2	5	10	0.72	70	6
3	5	15	0.48	70	6
4	5	20	0.38	70	6
5	5	25	0.24	70	6
6	5	30	0.2666666666666666	70	6
7	5	35	0.2085714285714285	70	6
2	6	12	0.7777777777777778	70	6
3	6	18	0.4444444444444444	70	6
4	6	24	0.3611111111111111	70	6
5	6	30	0.2888888888888888	70	6
6	6	36	0.1916666666666666	70	6
7	6	42	0.1857142857142857	70	6
2	7	14	0.7000000000000001	70	6
3	7	21	0.6047619047619047	70	6
4	7	28	0.3214285714285714	70	6
5	7	35	0.28	70	6
6	7	42	0.2333333333333333	70	6
7	7	49	0.1814058956916099	70	6
2	1	2		70	7
3	1	3	0.9	70	7
4	1	4	0.5833333333333334	70	7
5	1	5	0.26	70	7
6	1	6	0.3833333333333333	70	7
7	1	7	0.1999999999999999	70	7
2	2	4		70	7
3	2	6	0.6666666666666666	70	7
4	2	8	0.475	70	7
5	2	10	0.5666666666666667	70	7
6	2	12	0.2916666666666667	70	7
7	2	14	0.2232142857142857	70	7
2	3	6		70	7
3	3	9	0.7160493827160495	70	7
4	3	12	0.475	70	7
5	3	15	0.4148148148148148	70	7
6	3	18	0.2111111111111111	70	7
7	3	21	0.2666666666666666	70	7
2	4	8		70	7
3	4	12	0.5555555555555556	70	7
4	4	16	0.4125	70	7
5	4	20	0.3333333333333333	70	7
6	4	24	0.2125	70	7
7	4	28	0.2321428571428571	70	7
2	5	10		70	7
3	5	15	0.48	70	7
4	5	20	0.36	70	7
5	5	25	0.336	70	7
6	5	30	0.2037037037037037	70	7
7	5	35	0.1809523809523809	70	7
2	6	12		70	7
3	6	18	0.4611111111111111	70	7
4	6	24	0.3791666666666666	70	7
5	6	30	0.2366666666666666	70	7
6	6	36	0.2395833333333333	70	7
7	6	42	0.2047619047619047	70	7
2	7	14		70	7
3	7	21	0.4619047619047619	70	7
4	7	28	0.2619047619047619	70	7
5	7	35	0.3206349206349206	70	7
6	7	42	0.2238095238095238	70	7
7	7	49	0.1857142857142857	70	7
2	1	2	1.0	70	8
3	1	3	0.5666666666666667	70	8
4	1	4	0.275	70	8
5	1	5	0.32	70	8
6	1	6	0.2333333333333333	70	8
7	1	7	0.2285714285714286	70	8
2	2	4	0.8	70	8
3	2	6	0.65	70	8
4	2	8	0.4125	70	8
5	2	10	0.3875	70	8
6	2	12	0.25	70	8
7	2	14	0.2142857142857142	70	8
2	3	6	0.8333333333333334	70	8
3	3	9	0.4111111111111111	70	8
4	3	12	0.375	70	8
5	3	15	0.2733333333333333	70	8
6	3	18	0.1728395061728395	70	8
7	3	21	0.1952380952380952	70	8
2	4	8	0.775	70	8
3	4	12	0.5	70	8
4	4	16	0.4	70	8
5	4	20	0.295	70	8
6	4	24	0.25	70	8
7	4	28	0.1678571428571428	70	8
2	5	10	0.6666666666666667	70	8
3	5	15	0.5266666666666667	70	8
4	5	20	0.385	70	8
5	5	25	0.336	70	8
6	5	30	0.1733333333333333	70	8
7	5	35	0.2828571428571428	70	8
2	6	12	0.7166666666666667	70	8
3	6	18	0.4722222222222222	70	8
4	6	24	0.2833333333333333	70	8
5	6	30	0.3481481481481481	70	8
6	6	36	0.1851851851851852	70	8
7	6	42	0.1904761904761904	70	8
2	7	14	0.6857142857142857	70	8
3	7	21	0.4666666666666667	70	8
4	7	28	0.2857142857142857	70	8
5	7	35	0.3285714285714285	70	8
6	7	42	0.2095238095238095	70	8
7	7	49	0.2142857142857142	70	8
2	1	2		70	9
3	1	3		70	9
4	1	4		70	9
5	1	5		70	9
6	1	6		70	9
7	1	7		70	9
2	2	4	0.85	70	9
3	2	6	0.6166666666666667	70	9
4	2	8	0.3055555555555556	70	9
5	2	10	0.36	70	9
6	2	12	0.3020833333333333	70	9
7	2	14	0.2142857142857142	70	9
2	3	6	0.7666666666666666	70	9
3	3	9	0.6444444444444444	70	9
4	3	12	0.3425925925925925	70	9
5	3	15	0.2733333333333333	70	9
6	3	18	0.3	70	9
7	3	21	0.2202380952380952	70	9
2	4	8	0.8125	70	9
3	4	12	0.5462962962962963	70	9
4	4	16	0.2875	70	9
5	4	20	0.245	70	9
6	4	24	0.2625	70	9
7	4	28	0.1666666666666666	70	9
2	5	10	0.711111111111111	70	9
3	5	15	0.4066666666666666	70	9
4	5	20	0.275	70	9
5	5	25	0.3279999999999999	70	9
6	5	30	0.2708333333333333	70	9
7	5	35	0.2085714285714285	70	9
2	6	12	0.7037037037037037	70	9
3	6	18	0.5	70	9
4	6	24	0.324074074074074	70	9
5	6	30	0.2222222222222222	70	9
6	6	36	0.2333333333333333	70	9
7	6	42	0.2037037037037037	70	9
2	7	14	0.6285714285714287	70	9
3	7	21	0.419047619047619	70	9
4	7	28	0.3178571428571429	70	9
5	7	35	0.2571428571428571	70	9
6	7	42	0.2	70	9
7	7	49	0.1496598639455782	70	9
2	1	2		70	10
3	1	3		70	10
4	1	4		70	10
5	1	5		70	10
6	1	6		70	10
7	1	7		70	10
2	2	4		70	10
3	2	6		70	10
4	2	8		70	10
5	2	10		70	10
6	2	12		70	10
7	2	14		70	10
2	3	6		70	10
3	3	9	0.5111111111111111	70	10
4	3	12	0.3333333333333333	70	10
5	3	15	0.2380952380952381	70	10
6	3	18	0.2301587301587301	70	10
7	3	21	0.2571428571428572	70	10
2	4	8		70	10
3	4	12	0.6166666666666667	70	10
4	4	16	0.3125	70	10
5	4	20	0.27	70	10
6	4	24	0.2268518518518518	70	10
7	4	28	0.1642857142857142	70	10
2	5	10		70	10
3	5	15	0.4933333333333333	70	10
4	5	20	0.3285714285714285	70	10
5	5	25	0.3466666666666666	70	10
6	5	30	0.1666666666666666	70	10
7	5	35	0.1777777777777777	70	10
2	6	12		70	10
3	6	18	0.462962962962963	70	10
4	6	24	0.3625	70	10
5	6	30	0.1777777777777777	70	10
6	6	36	0.2611111111111111	70	10
7	6	42	0.1772486772486772	70	10
2	7	14		70	10
3	7	21	0.4619047619047619	70	10
4	7	28	0.325	70	10
5	7	35	0.26	70	10
6	7	42	0.2407407407407407	70	10
7	7	49	0.1479591836734693	70	10
2	1	2		70	11
3	1	3		70	11
4	1	4		70	11
5	1	5		70	11
6	1	6		70	11
7	1	7		70	11
2	2	4		70	11
3	2	6		70	11
4	2	8		70	11
5	2	10		70	11
6	2	12		70	11
7	2	14		70	11
2	3	6		70	11
3	3	9	0.4777777777777777	70	11
4	3	12	0.1999999999999999	70	11
5	3	15	0.3266666666666667	70	11
6	3	18	0.1975308641975308	70	11
7	3	21	0.164021164021164	70	11
2	4	8		70	11
3	4	12	0.5666666666666667	70	11
4	4	16	0.35625	70	11
5	4	20	0.325	70	11
6	4	24	0.225	70	11
7	4	28	0.1642857142857142	70	11
2	5	10		70	11
3	5	15	0.5	70	11
4	5	20	0.255	70	11
5	5	25	0.2844444444444444	70	11
6	5	30	0.25	70	11
7	5	35	0.1809523809523809	70	11
2	6	12		70	11
3	6	18	0.5222222222222223	70	11
4	6	24	0.324074074074074	70	11
5	6	30	0.1703703703703703	70	11
6	6	36	0.1512345679012345	70	11
7	6	42	0.1772486772486772	70	11
2	7	14		70	11
3	7	21	0.3761904761904762	70	11
4	7	28	0.3285714285714285	70	11
5	7	35	0.2571428571428571	70	11
6	7	42	0.1857142857142857	70	11
7	7	49	0.1959183673469387	70	11
2	1	2		70	12
3	1	3		70	12
4	1	4		70	12
5	1	5		70	12
6	1	6		70	12
7	1	7		70	12
2	2	4		70	12
3	2	6		70	12
4	2	8		70	12
5	2	10		70	12
6	2	12		70	12
7	2	14		70	12
2	3	6		70	12
3	3	9	0.4777777777777777	70	12
4	3	12	0.3	70	12
5	3	15	0.2666666666666666	70	12
6	3	18	0.2222222222222222	70	12
7	3	21	0.1111111111111111	70	12
2	4	8		70	12
3	4	12	0.4583333333333333	70	12
4	4	16	0.2777777777777778	70	12
5	4	20	0.2875	70	12
6	4	24	0.1666666666666666	70	12
7	4	28	0.2071428571428571	70	12
2	5	10		70	12
3	5	15	0.5333333333333333	70	12
4	5	20	0.35	70	12
5	5	25	0.268	70	12
6	5	30	0.2185185185185185	70	12
7	5	35	0.1571428571428571	70	12
2	6	12		70	12
3	6	18	0.5166666666666667	70	12
4	6	24	0.2541666666666666	70	12
5	6	30	0.2333333333333333	70	12
6	6	36	0.1909722222222222	70	12
7	6	42	0.2083333333333333	70	12
2	7	14		70	12
3	7	21	0.4714285714285714	70	12
4	7	28	0.3	70	12
5	7	35	0.2285714285714285	70	12
6	7	42	0.1825396825396825	70	12
7	7	49	0.1224489795918367	70	12
2	1	2	0.9	70	1
3	1	3	0.9333333333333332	70	1
4	1	4	0.95	70	1
5	1	5	0.7	70	1
6	1	6	0.65	70	1
7	1	7	0.7301587301587301	70	1
2	2	4	1.0	70	1
3	2	6	0.7833333333333333	70	1
4	2	8	0.7083333333333334	70	1
5	2	10	0.41	70	1
6	2	12	0.3888888888888889	70	1
7	2	14	0.3642857142857142	70	1
2	3	6	1.0	70	1
3	3	9	0.7888888888888889	70	1
4	3	12	0.4833333333333333	70	1
5	3	15	0.362962962962963	70	1
6	3	18	0.4111111111111111	70	1
7	3	21	0.2486772486772487	70	1
2	4	8	1.0	70	1
3	4	12	0.65	70	1
4	4	16	0.4625	70	1
5	4	20	0.4599999999999999	70	1
6	4	24	0.412037037037037	70	1
7	4	28	0.3015873015873015	70	1
2	5	10	0.96	70	1
3	5	15	0.6	70	1
4	5	20	0.5650000000000001	70	1
5	5	25	0.3428571428571428	70	1
6	5	30	0.3033333333333333	70	1
7	5	35	0.2628571428571428	70	1
2	6	12	0.9416666666666668	70	1
3	6	18	0.6666666666666666	70	1
4	6	24	0.4305555555555556	70	1
5	6	30	0.3481481481481481	70	1
6	6	36	0.3086419753086419	70	1
7	6	42	0.2592592592592592	70	1
2	7	14	0.9285714285714286	70	1
3	7	21	0.6619047619047619	70	1
4	7	28	0.4285714285714285	70	1
5	7	35	0.3114285714285714	70	1
6	7	42	0.2809523809523809	70	1
7	7	49	0.2448979591836734	70	1
2	1	2		70	2
3	1	3	0.9	70	2
4	1	4	0.725	70	2
5	1	5	0.8400000000000001	70	2
6	1	6	0.5666666666666667	70	2
7	1	7	0.4428571428571429	70	2
2	2	4		70	2
3	2	6	0.5833333333333334	70	2
4	2	8	0.5875	70	2
5	2	10	0.37	70	2
6	2	12	0.4166666666666667	70	2
7	2	14	0.4285714285714285	70	2
2	3	6		70	2
3	3	9	0.5888888888888889	70	2
4	3	12	0.5462962962962963	70	2
5	3	15	0.437037037037037	70	2
6	3	18	0.3833333333333333	70	2
7	3	21	0.2559523809523809	70	2
2	4	8		70	2
3	4	12	0.5833333333333334	70	2
4	4	16	0.3375	70	2
5	4	20	0.39	70	2
6	4	24	0.3291666666666666	70	2
7	4	28	0.2222222222222222	70	2
2	5	10		70	2
3	5	15	0.4444444444444445	70	2
4	5	20	0.4549999999999999	70	2
5	5	25	0.3377777777777778	70	2
6	5	30	0.31	70	2
7	5	35	0.2314285714285714	70	2
2	6	12		70	2
3	6	18	0.4833333333333333	70	2
4	6	24	0.4916666666666667	70	2
5	6	30	0.29	70	2
6	6	36	0.2277777777777777	70	2
7	6	42	0.2047619047619047	70	2
2	7	14		70	2
3	7	21	0.5857142857142857	70	2
4	7	28	0.3888888888888889	70	2
5	7	35	0.3114285714285714	70	2
6	7	42	0.246031746031746	70	2
7	7	49	0.2061224489795918	70	2
2	1	2	1.0	70	3
3	1	3	0.8666666666666667	70	3
4	1	4	0.675	70	3
5	1	5	0.7	70	3
6	1	6	0.75	70	3
7	1	7	0.6	70	3
2	2	4	0.9	70	3
3	2	6	0.5833333333333334	70	3
4	2	8	0.575	70	3
5	2	10	0.49	70	3
6	2	12	0.4166666666666667	70	3
7	2	14	0.25	70	3
2	3	6	0.9	70	3
3	3	9	0.7333333333333333	70	3
4	3	12	0.5166666666666667	70	3
5	3	15	0.3533333333333333	70	3
6	3	18	0.3555555555555555	70	3
7	3	21	0.2904761904761904	70	3
2	4	8	0.85	70	3
3	4	12	0.5166666666666667	70	3
4	4	16	0.575	70	3
5	4	20	0.3555555555555555	70	3
6	4	24	0.3708333333333333	70	3
7	4	28	0.2366071428571428	70	3
2	5	10	0.8800000000000001	70	3
3	5	15	0.5333333333333333	70	3
4	5	20	0.5166666666666667	70	3
5	5	25	0.4	70	3
6	5	30	0.2592592592592592	70	3
7	5	35	0.2028571428571428	70	3
2	6	12	0.85	70	3
3	6	18	0.4166666666666667	70	3
4	6	24	0.3541666666666667	70	3
5	6	30	0.2791666666666667	70	3
6	6	36	0.2067901234567901	70	3
7	6	42	0.1976190476190476	70	3
2	7	14	0.8142857142857143	70	3
3	7	21	0.5761904761904761	70	3
4	7	28	0.4126984126984127	70	3
5	7	35	0.2914285714285714	70	3
6	7	42	0.2714285714285714	70	3
7	7	49	0.2040816326530612	70	3
2	1	2	0.9	70	4
3	1	3	0.7666666666666666	70	4
4	1	4	0.6	70	4
5	1	5	0.8	70	4
6	1	6	0.6166666666666667	70	4
7	1	7	0.6031746031746031	70	4
2	2	4	1.0	70	4
3	2	6	0.6666666666666666	70	4
4	2	8	0.5625	70	4
5	2	10	0.49	70	4
6	2	12	0.375	70	4
7	2	14	0.3928571428571428	70	4
2	3	6	0.9666666666666668	70	4
3	3	9	0.5972222222222222	70	4
4	3	12	0.5416666666666666	70	4
5	3	15	0.3703703703703703	70	4
6	3	18	0.2777777777777778	70	4
7	3	21	0.3476190476190476	70	4
2	4	8	0.975	70	4
3	4	12	0.5416666666666666	70	4
4	4	16	0.3194444444444444	70	4
5	4	20	0.45	70	4
6	4	24	0.359375	70	4
7	4	28	0.2678571428571428	70	4
2	5	10	0.8800000000000001	70	4
3	5	15	0.5399999999999999	70	4
4	5	20	0.38	70	4
5	5	25	0.2755555555555555	70	4
6	5	30	0.2566666666666666	70	4
7	5	35	0.2371428571428571	70	4
2	6	12	0.8250000000000001	70	4
3	6	18	0.5166666666666667	70	4
4	6	24	0.4375	70	4
5	6	30	0.32	70	4
6	6	36	0.2222222222222222	70	4
7	6	42	0.2071428571428571	70	4
2	7	14	0.9523809523809524	70	4
3	7	21	0.5809523809523809	70	4
4	7	28	0.3293650793650793	70	4
5	7	35	0.3257142857142857	70	4
6	7	42	0.2172619047619047	70	4
7	7	49	0.2183673469387755	70	4
2	1	2	1.0	70	5
3	1	3	1.0	70	5
4	1	4	0.725	70	5
5	1	5	0.58	70	5
6	1	6	0.7000000000000001	70	5
7	1	7	0.7142857142857143	70	5
2	2	4	1.0	70	5
3	2	6	0.8333333333333334	70	5
4	2	8	0.4875	70	5
5	2	10	0.45	70	5
6	2	12	0.45	70	5
7	2	14	0.3285714285714285	70	5
2	3	6	0.9	70	5
3	3	9	0.7222222222222222	70	5
4	3	12	0.4537037037037037	70	5
5	3	15	0.5133333333333333	70	5
6	3	18	0.3222222222222222	70	5
7	3	21	0.3015873015873015	70	5
2	4	8	0.9	70	5
3	4	12	0.8083333333333332	70	5
4	4	16	0.39375	70	5
5	4	20	0.305	70	5
6	4	24	0.2824074074074074	70	5
7	4	28	0.2723214285714285	70	5
2	5	10	0.9	70	5
3	5	15	0.6733333333333333	70	5
4	5	20	0.485	70	5
5	5	25	0.376	70	5
6	5	30	0.2666666666666666	70	5
7	5	35	0.2114285714285714	70	5
2	6	12	0.9583333333333334	70	5
3	6	18	0.5555555555555556	70	5
4	6	24	0.425	70	5
5	6	30	0.3074074074074074	70	5
6	6	36	0.3166666666666666	70	5
7	6	42	0.1761904761904762	70	5
2	7	14	0.9142857142857144	70	5
3	7	21	0.6285714285714286	70	5
4	7	28	0.4444444444444445	70	5
5	7	35	0.346031746031746	70	5
6	7	42	0.2571428571428572	70	5
7	7	49	0.2551020408163265	70	5
2	1	2		70	6
3	1	3		70	6
4	1	4		70	6
5	1	5		70	6
6	1	6		70	6
7	1	7		70	6
2	2	4	0.975	70	6
3	2	6	0.8333333333333334	70	6
4	2	8	0.625	70	6
5	2	10	0.4777777777777777	70	6
6	2	12	0.3166666666666666	70	6
7	2	14	0.3142857142857143	70	6
2	3	6	1.0	70	6
3	3	9	0.5802469135802469	70	6
4	3	12	0.425	70	6
5	3	15	0.362962962962963	70	6
6	3	18	0.3555555555555555	70	6
7	3	21	0.2539682539682539	70	6
2	4	8	0.975	70	6
3	4	12	0.5083333333333333	70	6
4	4	16	0.5069444444444444	70	6
5	4	20	0.3388888888888889	70	6
6	4	24	0.3333333333333333	70	6
7	4	28	0.25	70	6
2	5	10	0.9	70	6
3	5	15	0.56	70	6
4	5	20	0.43	70	6
5	5	25	0.365	70	6
6	5	30	0.3266666666666667	70	6
7	5	35	0.2158730158730158	70	6
